Column Labels:,ID,Account Name,Company,Parent Account,Created On,Created By,Disable,Account Number,Is Group,Root Type,Report Type,Currency,Account Type,Tax Rate,Frozen,Balance must be,Include in gross
,"""Application of Funds (Assets) - A""",Application of Funds (Assets),alalmia,,2025-01-02 04:59:23.841489,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Current Assets - A""",Current Assets,alalmia,Application of Funds (Assets) - A,2025-01-02 04:59:23.866087,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Accounts Receivable - A""",Accounts Receivable,alalmia,Current Assets - A,2025-01-02 04:59:23.875276,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Debtors - A""",Debtors,alalmia,Accounts Receivable - A,2025-01-02 04:59:23.887230,Administrator,0,,0,Asset,Balance Sheet,LYD,Receivable,0,No,,0
,"""Bank Accounts - A""",Bank Accounts,alalmia,Current Assets - A,2025-01-02 04:59:23.895065,Administrator,0,,1,Asset,Balance Sheet,LYD,Bank,0,No,,0
,"""Bank Account - A""",Bank Account,alalmia,Bank Accounts - A,2025-01-02 04:59:33.820140,Administrator,0,,0,Asset,Balance Sheet,LYD,Bank,0,No,,0
,"""Cash In Hand - A""",Cash In Hand,alalmia,Current Assets - A,2025-01-02 04:59:23.901670,Administrator,0,,1,Asset,Balance Sheet,LYD,Cash,0,No,,0
,"""Cash - A""",Cash,alalmia,Cash In Hand - A,2025-01-02 04:59:23.907821,Administrator,0,,0,Asset,Balance Sheet,LYD,Cash,0,No,,0
,"""0003 - الفروع - A""",الفروع,alalmia,Cash In Hand - A,2025-01-02 14:03:45.425203,awd@hotmail.it,0,3,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""00031 - خزنة الفرناج - A""",خزنة الفرناج,alalmia,0003 - الفروع - A,2025-01-02 14:04:08.351719,awd@hotmail.it,0,31,0,Asset,Balance Sheet,LYD,Cash,0,No,,0
,"""00032 - خزنة ابوسليم - A""",خزنة ابوسليم,alalmia,0003 - الفروع - A,2025-01-02 14:04:26.937455,awd@hotmail.it,0,32,0,Asset,Balance Sheet,LYD,Cash,0,No,,0
,"""00034 - خزنة الزاجل - A""",خزنة الزاجل,alalmia,0003 - الفروع - A,2025-01-02 14:04:48.299420,awd@hotmail.it,0,34,0,Asset,Balance Sheet,LYD,Cash,0,No,,0
,"""Loans and Advances (Assets) - A""",Loans and Advances (Assets),alalmia,Current Assets - A,2025-01-02 04:59:23.916024,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Employee Advances - A""",Employee Advances,alalmia,Loans and Advances (Assets) - A,2025-01-02 04:59:23.923012,Administrator,0,,0,Asset,Balance Sheet,LYD,,0,No,,0
,"""Securities and Deposits - A""",Securities and Deposits,alalmia,Current Assets - A,2025-01-02 04:59:23.931193,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Earnest Money - A""",Earnest Money,alalmia,Securities and Deposits - A,2025-01-02 04:59:23.938779,Administrator,0,,0,Asset,Balance Sheet,LYD,,0,No,,0
,"""Stock Assets - A""",Stock Assets,alalmia,Current Assets - A,2025-01-02 04:59:23.947097,Administrator,0,,1,Asset,Balance Sheet,LYD,Stock,0,No,,0
,"""Stock In Hand - A""",Stock In Hand,alalmia,Stock Assets - A,2025-01-02 04:59:23.954293,Administrator,0,,0,Asset,Balance Sheet,LYD,Stock,0,No,,0
,"""Tax Assets - A""",Tax Assets,alalmia,Current Assets - A,2025-01-02 04:59:23.962444,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Fixed Assets - A""",Fixed Assets,alalmia,Application of Funds (Assets) - A,2025-01-02 04:59:23.969625,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Accumulated Depreciation - A""",Accumulated Depreciation,alalmia,Fixed Assets - A,2025-01-02 04:59:24.024519,Administrator,0,,0,Asset,Balance Sheet,LYD,Accumulated Depreciation,0,No,,0
,"""Buildings - A""",Buildings,alalmia,Fixed Assets - A,2025-01-02 04:59:24.011368,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Capital Equipment - A""",Capital Equipment,alalmia,Fixed Assets - A,2025-01-02 04:59:23.976191,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""CWIP Account - A""",CWIP Account,alalmia,Fixed Assets - A,2025-01-02 04:59:24.030503,Administrator,0,,0,Asset,Balance Sheet,LYD,Capital Work in Progress,0,No,,0
,"""Electronic Equipment - A""",Electronic Equipment,alalmia,Fixed Assets - A,2025-01-02 04:59:23.986910,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Furniture and Fixtures - A""",Furniture and Fixtures,alalmia,Fixed Assets - A,2025-01-02 04:59:23.992952,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Office Equipment - A""",Office Equipment,alalmia,Fixed Assets - A,2025-01-02 04:59:23.998973,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Plants and Machineries - A""",Plants and Machineries,alalmia,Fixed Assets - A,2025-01-02 04:59:24.005782,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Software - A""",Software,alalmia,Fixed Assets - A,2025-01-02 04:59:24.018103,Administrator,0,,0,Asset,Balance Sheet,LYD,Fixed Asset,0,No,,0
,"""Investments - A""",Investments,alalmia,Application of Funds (Assets) - A,2025-01-02 04:59:24.038572,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Temporary Accounts - A""",Temporary Accounts,alalmia,Application of Funds (Assets) - A,2025-01-02 04:59:24.044468,Administrator,0,,1,Asset,Balance Sheet,LYD,,0,No,,0
,"""Temporary Opening - A""",Temporary Opening,alalmia,Temporary Accounts - A,2025-01-02 04:59:24.050566,Administrator,0,,0,Asset,Balance Sheet,LYD,Temporary,0,No,,0
,"""Equity - A""",Equity,alalmia,,2025-01-02 04:59:24.388456,Administrator,0,,1,Equity,Balance Sheet,LYD,,0,No,,0
,"""Capital Stock - A""",Capital Stock,alalmia,Equity - A,2025-01-02 04:59:24.393912,Administrator,0,,0,Equity,Balance Sheet,LYD,Equity,0,No,,0
,"""Dividends Paid - A""",Dividends Paid,alalmia,Equity - A,2025-01-02 04:59:24.401555,Administrator,0,,0,Equity,Balance Sheet,LYD,Equity,0,No,,0
